Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
TBC1D12	6728	8251	9892	8799	7804	8904	5989	7577	8877	19143	15499	19754	16317	17877
TBC1D13	27647	27768	31725	26589	26403	27534	23114	23978	31381	90153	124261	91336	85486	70782
TBC1D14	66886	65157	76287	63594	57458	59462	43497	61517	73637	94513	88255	69138	60292	57635
TBC1D15	32597	33222	41271	48691	44504	43773	34514	46172	51460	20754	20338	34638	34168	38065
TBC1D16	36175	37332	42460	37295	36555	39494	16328	22714	30215	226500	217469	109371	134593	108909
TBC1D17	13886	12384	14524	21272	19402	22158	24513	18416	20673	55700	67434	72371	53300	48818
TBC1D19	2089	2750	3209	4437	3688	3372	3435	4834	4724	6291	5166	7630	6651	9971
TBC1D2	12096	13086	13836	19448	16313	20415	15462	13321	16650	5420	7155	10227	6631	5662
TBC1D20	15899	15809	18385	17644	19410	20539	20364	23670	26911	97649	113499	90601	83009	74808
TBC1D22A	10207	11849	12449	15461	15620	15130	13444	12009	14180	38611	52920	53800	47942	41171
TBC1D22B	7166	7590	8659	8974	7212	9190	9883	12262	14841	37702	48285	77166	56724	58029
TBC1D23	14035	13538	18821	23630	21273	21716	20212	25474	25361	9735	11083	18396	16248	18350
TBC1D24	13620	13617	15928	14576	12056	13041	8389	9591	13419	40340	41386	32219	32263	31290
TBC1D25	14965	17014	21470	24219	21774	22516	21703	20834	24228	31250	42724	47977	33105	29836
TBC1D2B	15665	16795	21619	14757	15651	14991	6935	10246	12959	94105	101571	89424	77019	63780
TBC1D30	9704	13753	16302	10870	11620	11703	4568	6177	6059	15932	13821	19069	17110	18723
TBC1D31	7634	9265	11912	10726	8671	9027	15005	15027	16235	19079	25334	23854	24253	25365
TBC1D32	592	698	600	449	1070	740	646	792	1470	2271	3562	6153	4099	4645
TBC1D3P1-DHX40P1	10759	12186	12166	13951	10949	10693	8626	14903	19392	5851	7780	6423	6319	6884
TBC1D4	47066	47313	58685	62675	55515	54709	15088	26342	31215	39578	27289	27481	27592	31243
TBC1D5	18262	19757	24912	17094	16828	15955	15355	28904	29026	51308	45653	39304	39945	41367
TBC1D7	6967	6370	8255	6429	5967	5284	8660	6868	7874	33081	45510	35401	32781	26328
TBC1D8	26302	26743	30440	27708	26460	26164	13473	14954	21692	25932	26664	21262	16533	16476
TBC1D8B	450	50	500	400	948	600	493	400	700	2572	3373	6404	5825	6699
TBC1D9	14754	14126	19236	18787	16263	17066	11618	18079	20267	38099	43279	46836	36098	36254
TBC1D9B	60141	57236	68578	64091	60476	63551	53404	56035	72372	277052	276945	219158	213727	192238
