Gene	SRR6926216	SRR6926217	SRR6926218	SRR6926219	SRR6926220	SRR6926221	SRR6926222	SRR6926223	SRR6926224	SRR6026765	SRR6026766	SRR6026770	SRR6026771	SRR6026772
A1BG-AS1	50	104	150	100	279	184	400	300	254	11926	15052	16875	9107	9334
A4GALT	8397	10124	10924	14111	11594	17258	8858	7683	9289	5777	9055	8443	6245	5374
AAAS	27848	32981	34332	34061	32889	34040	37834	34293	38556	82007	100419	99693	90476	77347
AACS	16081	14348	18644	37454	31668	32485	13160	15360	19237	69773	82944	90480	66114	58223
AADAT	2399	3577	4545	2518	2451	2123	2421	3294	3107	10075	8990	11047	9566	10986
AAED1	12611	12748	15219	16929	14315	14504	17494	19694	19796	20335	25489	19241	19601	21206
AAGAB	26354	30045	33675	31783	32274	33155	32206	35321	41047	105045	98729	86747	105278	102150
AAK1	25788	23115	28658	36184	35804	34252	33015	60575	83313	47216	52357	49673	41048	44056
AAMDC	1650	3204	2313	1788	2488	1946	3869	2824	3121	14733	17730	13469	10492	9662
AAMP	43515	46631	50492	58324	57678	61455	52863	43546	51733	198234	212131	190557	200811	162516
AAR2	27862	29183	36024	35306	27866	31689	31815	28310	34766	65664	99111	118045	90344	75164
AARS	125962	130069	148511	171120	165732	174532	427277	441766	517841	173939	213921	366976	426155	388160
AARS2	13836	12422	14225	14651	11573	16166	12179	10289	12668	74088	96697	91090	86120	72579
AARSD1	15137	15554	17150	16180	13889	18190	22701	17595	23347	27963	35743	50511	44541	38397
AASDH	5839	4325	7254	4513	5062	4494	5044	6281	5340	4634	6026	7174	6249	7091
AASDHPPT	24415	25628	30965	22944	21638	20558	20173	29735	31670	56556	54051	60100	70708	76167
AASS	395	641	814	444	393	395	350	702	570	11999	15303	20149	20024	22071
ABCA11P	3621	3910	4048	3403	4197	2977	5997	6680	8029	2304	4070	4518	6324	5844
ABCA2	59013	56299	68574	54551	55200	52130	26157	30954	41259	116359	123615	44071	37208	36145
ABCA3	46431	41622	48687	40228	33753	37968	28812	33285	37749	97913	103765	31763	29151	25247
ABCA5	2341	2582	2274	3857	3237	3464	3836	4742	4660	8585	12857	16910	13074	15576
ABCA7	9855	12767	13061	20432	17983	20192	11240	9886	13556	43602	58910	37860	21388	23582
ABCB1	4115	4408	5396	4508	4047	3987	4672	4892	4778	18463	19807	23078	24344	27360
ABCB10	25518	25636	31948	21764	20704	22795	12730	17756	21312	55078	41693	35370	35762	40756
ABCB6	16443	16989	18361	32097	28625	31439	53195	43687	55871	26372	23983	16858	16554	14879
ABCB7	25152	25460	31028	27479	23164	25805	16731	18423	22525	24529	26266	27323	28438	31642
ABCB8	6001	6633	7774	10638	8512	10764	9278	7113	8326	53669	52471	52025	55863	51036
ABCB9	13164	12376	13948	16390	12577	15700	17913	14895	17051	76233	87284	75502	67238	58188
ABCC10	6005	5740	7025	7463	6386	7338	8332	8412	10366	49539	67194	50753	39237	39424
ABCC4	25912	29413	36290	35392	33295	28646	10419	14825	17108	23756	27786	26181	21124	25290
ABCC5	9883	11896	13498	8889	8337	6287	5110	9703	9835	41595	48749	42616	34770	33167
ABCD1	65503	70060	77091	83136	74139	86504	47561	36752	46516	18044	25348	17995	14270	12973
ABCD3	60789	66451	81828	93887	86431	83315	46790	61654	64745	50082	45279	34754	54779	57887
ABCD4	7202	7979	8299	7541	7109	6879	15475	12950	15673	40573	64338	67861	43228	43254
ABCE1	86125	94579	109549	101386	91018	93235	70149	76792	85048	21761	26157	25323	45799	46843
ABCF2	53170	61198	66196	47888	44155	44559	51583	55439	61003	136997	161216	177305	175859	157359
ABCF3	45114	43067	51987	66515	57452	65959	63611	57401	71103	27633	37188	57696	41509	39868
ABCG1	22885	24013	26667	28281	27374	28956	40857	47372	53339	4815	4308	5570	2267	2274
ABCG2	1275	1430	1582	6990	6907	6254	1533	1016	1525	1453	1535	1095	1962	2118
ABHD10	19585	19654	22352	28004	28902	30500	13346	17582	19034	23173	23160	24214	21651	25219
ABHD11	4248	4975	5407	5434	5331	5119	5921	4997	5759	18605	21583	32905	23279	19328
ABHD12	21447	21955	21861	31914	26964	34766	32614	25676	27642	93562	132351	111020	91470	81956
ABHD13	9979	10735	12890	10138	11989	10279	11842	16736	17092	11332	11429	14254	14435	18573
ABHD14A	9011	10818	12013	11590	9530	9982	10628	6704	8628	10423	14334	10019	7486	6851
ABHD14A-ACY1	14759	15248	16835	16051	14249	13563	18915	15362	17884	19212	26616	25252	18445	15478
ABHD14B	20543	22587	26269	20778	18274	19168	25062	18676	21815	12364	18135	11140	10953	9233
ABHD15	11034	9592	12231	8906	8780	8622	8175	9745	11952	67120	64540	45388	39558	35216
ABHD17B	16012	15683	20490	14899	15060	14908	12177	14478	17714	31754	40265	42757	41809	45909
ABHD17C	13570	13567	15682	12765	12884	10778	10816	11870	13542	50823	39718	28918	31113	30300
ABHD18	7361	9972	10465	9906	7573	7288	8746	10899	12574	8802	11032	12719	8954	10263
ABHD2	34340	36087	38432	41288	36798	35544	30029	59959	67163	179924	166280	124065	133603	139625
ABHD3	6385	6904	7129	4682	4093	4256	6611	6520	7183	25148	24145	17070	24447	27125
ABHD4	5286	5991	6288	13922	12512	12044	29012	24613	35513	15003	25210	32352	17914	21259
ABHD5	11494	11811	15103	14186	14528	13155	13382	15668	18575	11937	13108	11704	12266	12194
ABHD6	8486	8317	9523	7228	6711	5433	7864	8381	10254	7717	9117	8195	7460	8946
ABHD8	7441	8777	8277	11648	9931	11691	18805	12585	15681	74321	82992	66787	57114	51217
ABI1	29830	32213	41717	35749	29700	33117	34355	44370	52236	39796	39684	36116	46207	48380
ABI2	81225	77119	92123	76660	71622	69889	55729	82830	104813	113250	121484	111598	106067	112217
ABL1	120984	124966	150366	127538	113611	118550	110686	145910	184556	203297	280339	305462	272848	231158
ABL2	39127	33999	46188	40411	35668	35472	31893	59343	82522	93494	77218	87121	73763	81217
ABLIM1	120704	118729	150589	122987	109539	109828	70092	121933	142690	107049	142558	133220	119389	125252
ABLIM2	50	150	100	100	150	200	200	49	250	1279	998	2129	1299	1520
ABR	67662	72851	81089	81042	80291	79472	31622	38519	46122	5740	5437	3512	3202	3216
ABRACL	11755	10061	14621	17061	13736	15476	11550	9815	11291	42734	48843	23993	30557	31585
ABT1	15101	15986	17488	18954	14648	19439	16236	14106	18648	79690	90085	86299	81720	69908
ABTB1	13326	13556	13912	35962	33706	37454	27900	22605	28391	13291	21535	21243	12739	13556
ABTB2	7449	5581	7193	5402	4816	5862	6409	6119	9297	28640	29489	35197	37884	29788
AC000068.10	2792	3282	3477	4704	4033	3321	5944	3858	3945	7315	9606	8902	8885	7808
AC000068.5	350	300	272	250	323	583	329	454	492	2625	4017	4602	3090	2842
AC002056.3	4487	5478	5551	4529	4168	6012	7709	6622	6362	1686	2226	1421	1770	1526
AC002116.7	519	333	803	1015	550	750	590	550	781	5170	4397	4014	4366	4775
AC002116.8	1828	1544	1957	1348	1261	1972	5381	3916	3027	43098	38571	35761	39161	33750
AC002310.11	2470	2902	4388	3006	3473	3123	4005	4619	5744	21223	32153	39870	28114	26005
AC002310.12	1843	1350	1917	1554	1261	2147	2114	2263	2718	3294	5303	5372	3482	3726
AC002310.7	926	1215	798	2139	1553	1451	550	800	1567	1248	3789	3665	1309	1395
AC002398.11	1155	1512	2727	3521	2483	2734	3774	3337	4758	19885	15833	29781	30803	26892
AC002398.9	6806	6257	8168	11625	11202	10043	14438	11655	15466	76325	67606	89017	107233	88623
AC002454.1	219	150	163	145	62	50	150	185	250	1771	997	926	1164	920
AC002467.7	225	149	100	150	250	438	736	578	457	3101	3259	2671	2915	2595
AC002550.5	8960	7849	10855	7495	8223	8430	6638	7448	9660	19199	22782	27164	24001	20635
AC003075.4	702	1081	975	885	1155	1449	550	777	539	1516	2278	2447	2299	2296
AC004076.7	978	1418	1280	1273	1132	1172	2329	1775	2080	5013	5842	7087	4508	5255
AC004381.6	3104	4329	4742	3845	3549	5265	5982	5168	6620	14562	16932	22542	15930	16323
AC004453.8	104923	115346	141513	136062	112653	104796	184145	135333	154383	104900	132385	119344	109278	88868
AC004540.4	308	274	242	161	255	194	92	252	115	3359	3551	2990	3330	3996
AC004754.3	18756	18891	22726	21425	18772	18693	22849	24205	30449	71466	81023	58584	66222	53552
AC004893.11	3647	2064	2350	2742	2519	2735	2814	2814	3627	9806	11460	11587	9832	10325
AC004967.7	1182	732	1671	1881	970	1343	1337	1618	1347	2963	3089	2923	2636	3349
AC005037.3	567	656	105	662	734	1016	346	500	857	2950	2893	3399	3413	4949
AC005076.5	450	450	591	550	600	585	400	350	389	1158	1624	1906	1274	1914
AC005154.6	2442	2200	3681	3750	2133	3027	3717	4279	6412	11036	14709	15259	16243	16753
AC005253.2	467	539	750	388	454	557	496	410	944	18098	20302	13238	12006	9446
AC005253.4	7786	6329	8923	11257	10013	10733	11729	9601	9201	45189	56052	41423	38630	35031
AC005262.2	3442	3827	4154	3042	3697	4900	1567	2355	2821	26486	27367	17847	21952	17182
AC005306.3	890	1240	1226	1022	769	750	944	826	870	30330	32581	26826	26997	21553
AC005324.8	2976	2905	2740	2648	2582	2772	1894	3745	4491	7799	7735	9858	8742	9863
AC005329.7	6784	7888	8062	7529	5446	5963	14158	6631	8627	53231	57518	43112	43553	39765
AC005523.2	17235	17820	18786	18780	16364	18687	18817	19433	22531	98642	115311	121190	128184	104253
AC005538.3	4534	5952	6532	5321	5037	4637	5755	8003	8996	5945	6837	5945	8347	9194
AC005540.3	2103	2300	2870	2003	1655	2712	435	1103	1697	10974	6204	8323	5853	7191
AC005562.1	5896	6947	8951	13212	10682	10282	9922	12715	14471	14881	14885	17615	15863	17255
AC005606.14	1749	2764	2173	2324	1791	2883	3124	2116	2275	10991	15013	17831	14211	14976
AC005606.15	7348	9443	8781	8706	8400	8122	11020	8616	7577	15385	17700	18504	17817	15964
AC005614.5	628	384	665	791	265	1055	849	584	912	2833	2840	3359	3195	3878
AC005775.2	442	580	600	631	643	564	650	550	426	9630	11346	10316	10413	8400
AC005785.2	4849	5754	5236	5761	6170	7655	6924	4471	4495	13351	14866	17451	13564	14093
AC005786.7	3479	4633	5522	6632	5726	7404	13909	7963	11771	8297	11521	8601	5787	5976
AC005822.1	13339	14299	17120	12084	10955	11786	7598	11176	12837	3157	3061	4223	3961	4554
AC005943.2	22782	23345	28830	29370	25478	26625	29206	20292	26256	210782	239656	163869	169656	144316
AC005944.2	28216	34700	37738	25247	23497	35281	31991	20171	23802	70128	75149	44465	42196	35413
AC006277.2	38	50	50	298	182	190	163	170	200	606	759	1640	812	675
AC006483.5	8689	8223	9686	10522	9245	6282	14085	15496	14882	1612	2041	1390	2227	1180
AC006486.10	517	342	350	700	697	640	200	200	237	4884	4379	3706	3611	3481
AC006547.15	1921	1889	1986	2857	1596	2041	3177	2600	3477	10452	12408	14570	11657	10208
AC006978.6	553	468	897	1344	901	914	700	531	650	4122	3065	4363	3799	4194
AC007038.7	116	50	50	250	150	150	350	258	300	496	524	698	645	502
AC007040.11	5331	4110	6620	8253	7496	5953	3378	5640	6780	28374	32073	29782	25767	21701
AC007041.2	3318	3855	5247	4893	3118	3653	6358	4998	4853	5864	6682	7736	8096	5881
AC007192.4	164163	177624	198164	155411	138830	159608	96672	87229	103822	211900	237167	163143	151027	124830
AC007229.3	3000	2695	3149	2850	2250	2446	4388	3849	4436	1967	2946	2189	1378	1935
AC007238.1	19995	21398	25267	27223	24191	25225	26901	23838	29308	16483	20383	14722	15909	14957
AC007246.3	731	846	638	816	1050	1088	1236	1488	800	2359	3676	3413	3806	2592
AC007292.3	597	846	912	1151	626	686	818	570	843	9174	12178	7436	7427	6044
AC007292.6	5075	6112	6161	6521	5859	6122	4217	2787	4581	19073	23756	22709	21871	16240
AC007318.5	31239	33201	41095	49082	41255	43004	48400	48534	50424	33701	40749	35350	33840	31994
AC007383.3	450	346	254	454	400	550	449	489	790	3817	4456	4828	4183	3808
AC007566.10	720	340	295	263	556	359	1070	991	1310	2824	2952	4077	4301	4637
AC007773.2	100	96	150	100	50	144	307	315	456	3530	3031	2930	4403	3996
AC007899.3	450	165	618	236	177	266	250	381	780	2031	2798	2102	1522	2359
AC008079.10	624	373	673	603	551	239	297	350	626	6577	7545	10861	6650	7718
AC009052.12	961	532	515	816	729	797	1152	811	1195	8140	8699	9003	7217	6254
AC009120.6	20351	18037	23712	25203	23684	24814	31413	24777	28694	60050	55879	49431	61833	55578
AC009133.12	87412	95561	103978	89315	77595	99304	107807	70600	85770	537976	667540	481342	414768	385436
AC009133.21	2466	3319	4349	2762	2593	2371	3091	1369	2205	21743	25889	28036	28807	23614
AC009133.23	18956	20666	22139	38302	32862	37101	24040	22080	27820	72371	91207	75382	60288	53929
AC009133.24	6869	7358	8862	6912	6944	9598	9583	5216	6863	75875	85218	60520	54541	47474
AC009299.5	2848	4170	3930	3442	2928	5218	1940	1987	2726	14683	19823	12058	9719	9434
AC009303.2	450	300	200	347	100	136	200	293	197	1764	3489	3820	2477	2181
AC009362.2	11699	9915	13366	15090	12180	12504	14624	11176	11908	32620	42319	31294	40863	34272
AC009403.2	1557	2089	2026	1998	1282	1618	2615	1626	1732	3057	3888	3386	2608	4190
AC009487.6	32288	30263	36382	30242	27530	23813	14133	28602	34945	1374	2293	4040	3613	3640
AC009501.4	2112	1664	1670	1589	1277	1811	1679	1536	2490	2154	1624	2025	2325	2004
AC009506.1	562	499	190	750	450	550	800	545	867	2724	4359	2565	2752	1880
AC009948.5	4364	4928	5961	5461	4273	4397	5135	9591	8680	5937	8899	8028	7845	7460
AC009948.7	5858	5935	7049	5593	4558	6291	5661	5527	5527	15224	13515	13642	17533	13953
AC010226.4	9211	8942	11617	37837	31891	27581	6185	18709	18567	7135	7658	9214	11240	11427
AC010547.9	1239	1971	1963	1770	1616	1780	3505	3393	4594	7183	7490	11891	14362	12962
AC010642.1	15720	16613	19117	23278	16061	19551	36105	27474	32440	91534	115086	135364	108648	103398
AC010761.8	68304	75325	83467	82378	71185	67739	105844	76480	87758	176379	215982	153278	152432	131411
AC010883.5	199	145	99	242	144	41	14	47	299	2202	2089	1480	1604	1741
AC012066.1	2200	2599	3196	2146	2446	3000	3841	2148	3143	8365	8326	7302	8783	8264
AC012146.7	9714	8520	11191	13429	10192	10306	11733	7187	9997	11673	13024	10672	11112	9759
AC012354.8	10045	10314	12506	20140	16628	14472	28604	21272	25409	11212	12638	9021	11413	8832
AC012358.8	1447	1446	1976	971	1713	1162	755	1644	1645	498	1530	2100	2702	2505
AC015933.2	500	311	701	434	349	108	425	275	283	10118	10736	10069	10757	10181
AC015971.2	3058	2606	3340	3211	2899	3376	3679	4202	5701	11222	14233	9777	9050	9681
AC016722.4	1876	1642	1667	6940	5303	6089	1775	3489	4145	6411	5764	7153	7480	7150
AC016739.2	129776	166571	186403	184839	169495	195367	263829	172785	178821	312846	373475	286672	278609	228322
AC016747.3	3429	4059	4555	3558	3460	4113	8595	10525	11305	11349	18050	12818	11934	9445
AC018816.3	824	901	800	1080	552	854	848	381	806	413	456	350	365	323
AC022201.5	268	277	106	296	130	345	261	346	387	4204	4176	2165	2314	2966
AC024560.3	4057	3029	3947	2610	2202	3210	2305	2689	2733	7972	10993	9300	7577	8268
AC024592.12	37284	38377	42334	54965	45902	50126	57954	43043	50537	143838	163382	114294	133099	112644
AC025171.1	2661	2448	1934	2905	3027	2633	2694	1836	2824	3000	3560	3652	2988	2668
AC025335.1	5238	5528	6595	3348	2499	3672	4842	4960	7430	6041	9508	12012	10479	8807
AC034220.3	286	503	91	267	510	430	491	626	798	2780	3482	3893	3404	2880
AC046143.3	635	760	699	583	352	386	765	1130	642	1916	2864	2271	2225	1816
AC064850.4	5586	6370	7303	6258	5139	6163	1579	5072	4773	6920	6033	5459	7112	7388
AC064852.4	94	244	105	173	198	97	43	194	65	1216	1203	1354	706	886
AC068282.3	217	153	256	380	209	678	284	146	217	1860	2689	2420	2744	2436
AC068533.7	3272	2745	3996	2686	2867	4198	5450	4628	5140	11981	15536	18198	16371	17600
AC068831.6	3320	2423	3007	2996	1936	2979	3050	2570	2780	13688	16192	9852	11392	8975
AC073063.10	8152	7313	9457	10003	7030	8755	13860	12632	12136	6607	5764	6547	6977	7127
AC073610.5	12558	12703	15754	34920	27941	27755	17420	17117	19927	15316	18348	13573	15398	13326
AC074117.10	2446	2747	2365	2555	2805	2427	3288	3318	3904	11754	17179	13811	12693	12903
AC074183.3	1651	2171	3109	2170	2392	2649	6555	4977	4883	3986	4567	7655	6275	6198
AC074183.4	1642	2171	3037	2099	2361	2588	6388	4847	4821	3986	4521	7632	6227	6132
AC074212.5	4369	4579	5570	6742	5451	7732	7075	4531	6624	34560	42079	45044	34262	34825
AC074212.6	1136	1375	1859	2802	2978	3120	1238	1025	1252	16451	15190	14618	13206	13944
AC074286.1	971	942	748	700	891	735	959	1135	1249	1233	2126	1738	1214	2366
AC078883.3	1431	1327	1673	1439	1671	700	715	1379	1478	2707	1220	859	775	1223
AC079305.10	1026	1129	1103	749	521	856	301	913	1067	1595	1359	2482	2895	2864
AC079354.5	59	84	242	119	169	250	82	151	139	417	508	375	525	375
AC079742.4	7137	6939	8147	6879	6070	6431	13391	9745	12520	14328	17963	12932	12536	10904
AC079780.3	466	650	621	428	320	445	320	645	221	528	614	495	660	273
AC079807.2	2092	2124	1630	1802	1576	1614	452	1277	1834	1987	1792	1275	1352	2303
AC079922.3	134	187	241	250	394	327	300	100	300	4692	6873	8824	5314	3808
AC084219.2	2752	1998	3537	4049	2391	3543	2493	2923	3515	20206	17694	20434	19669	23587
AC084219.4	2533	2338	3132	2486	2300	1947	2200	3733	2477	29267	22351	22048	28911	33003
AC090587.5	50	13	48	100	50	326	140	198	105	1907	2145	1839	1427	918
AC090616.2	616	479	957	675	790	813	295	650	993	6198	6132	4851	5248	5203
AC091133.1	5158	6119	6290	7281	5933	5895	9137	7656	9162	32918	36847	26474	28285	25720
AC091492.2	2034	3243	2999	3340	2349	2435	3247	2690	3236	1186	1649	1432	1037	1121
AC091729.9	4273	2572	3899	5599	4981	4544	8034	7728	8013	7318	8579	10363	9958	8871
AC092610.12	26906	34296	37211	39510	29929	38571	36215	28634	35879	919	734	341	804	635
AC092664.1	1630	1626	1483	1521	2164	2350	1622	1934	1966	5372	5793	6269	7279	5885
AC092687.5	2891	2429	3525	2394	2798	3334	3315	4739	3501	3081	2935	4592	3601	5096
AC092798.2	100	150	106	50	150	150	200	50	50	396	612	315	802	521
AC092835.2	491	544	1410	652	993	592	150	1148	1159	2392	3598	3359	2970	3159
AC093110.3	4567	3541	4810	3148	2980	3448	2337	3104	3789	5537	5653	5788	5066	6614
AC093323.3	11526	10986	14032	9870	8514	8924	13204	12377	13372	27318	23511	29452	26486	24378
AC093495.4	6506	6750	10676	9004	9002	7734	18453	16699	18649	21234	21738	22658	19043	17970
AC093818.1	1363	1599	1768	1338	1943	2658	1673	1314	1142	2704	2423	2641	2252	3011
AC093838.4	14247	15445	17321	14571	13128	13001	19306	18929	20290	28277	32128	81814	43975	43247
AC098614.2	45921	51023	58908	80627	70243	71929	55489	62936	67853	10036	12678	11044	10218	12822
AC098820.3	88	100	200	100	100	84	200	250	250	883	1337	538	857	638
AC099535.4	532	673	570	723	534	441	891	710	811	926	944	778	1210	871
AC099850.1	500	593	600	474	700	967	410	700	455	3209	2972	2837	2280	2530
AC104297.1	11740	14677	17446	12517	11693	13114	12092	8580	11251	5894	5852	4750	7414	8045
AC104534.3	101277	107927	124596	109815	94818	95310	112204	106893	120761	155046	161679	194528	172455	142494
AC104651.2	5548	5245	6938	6746	5999	8472	21669	16688	18224	3689	4149	3591	5770	4259
AC106786.1	1628	1359	2069	3363	2621	2888	1151	1670	1033	6767	6986	6069	5496	5967
AC107081.5	24403	23684	27728	21295	21095	22363	23252	18505	20031	43532	47766	49222	54674	50051
AC108142.1	521	396	772	292	498	215	250	510	681	7866	10072	8179	5643	6961
AC108488.4	257	200	150	287	543	299	1220	800	615	4583	5781	6778	4604	5340
AC113189.5	2803	2623	3193	4494	4212	4452	4154	2948	3013	16754	24713	23215	17062	15846
AC113404.1	49033	50228	67690	54725	50303	47573	72692	76806	76181	9949	8899	9854	10299	10322
AC114271.2	4160	4744	4320	6480	5593	6812	6328	5066	4568	10799	16265	18163	12433	10879
AC116366.7	50687	48722	67246	51653	47543	43981	60805	74714	79261	10305	30389	46629	51700	52452
AC133644.3	550	345	599	100	200	348	347	694	591	543	296	426	331	385
AC135048.13	1609	1372	2105	2427	2031	1949	3200	1713	3025	15532	20558	19882	11026	10167
AC139100.3	159	338	404	167	150	202	50	200	50	4998	4445	3809	3108	2500
AC140076.1	6278	6907	9295	8280	6663	8032	9629	6964	7529	5370	5621	3146	5438	5784
AC141586.5	2049	1510	2877	7245	7157	7855	4862	5261	7842	3287	3353	8545	6112	6035
AC142472.6	550	550	450	750	450	700	300	339	350	4854	5435	3912	4539	2860
AC142528.1	343	524	263	487	602	972	152	568	297	10520	9818	5975	8303	7117
AC144449.1	222	258	352	101	281	220	211	50	324	1863	2148	1441	1879	1468
AC144652.1	148	150	100	430	400	299	700	400	500	8768	10106	7513	3660	2470
ACAA1	12307	12145	12544	12173	11458	13006	16044	13356	15303	43216	52427	44077	38722	34227
ACAA2	27204	26264	35409	27047	24226	26700	33675	30844	30865	66795	63040	50757	69080	61757
ACACA	95913	89712	108115	89290	83038	84130	49642	78284	95869	2103	1864	2789	1805	1198
ACACB	4296	2951	4434	3307	3353	3520	3663	4908	7298	30388	31548	51091	27812	25816
ACAD10	4839	5917	5260	4462	5083	4521	5707	6094	5836	22448	33187	43454	27809	23851
ACAD11	7956	8700	8997	14056	12887	15023	19054	19752	23819	19417	20581	26988	23128	26219
ACAD8	8610	9724	9872	9722	10111	8907	4418	6488	7281	28200	33678	32278	28677	25648
ACAD9	24709	27262	30002	29925	23902	29621	28541	24772	29386	38076	48029	64264	49458	45387
ACADL	1477	1128	982	1893	1382	1530	2389	1856	2130	4330	5693	6349	4828	6291
ACADM	35952	37608	50136	44283	40382	43825	30149	36413	39771	27752	29731	26053	27683	33657
ACADS	2671	3825	3979	3195	3367	4514	3049	2321	2819	16336	21841	22216	22452	18077
ACADSB	12326	13226	14531	23016	21401	21619	9172	11445	13826	28392	22951	19923	29364	29755
ACADVL	71128	76226	85929	143620	134871	150209	105650	85860	94675	144075	191620	168262	163135	159898
ACAP2	27909	26747	36169	30070	29441	27163	22030	49516	50006	14744	19049	26773	26863	31056
ACAP3	13710	14389	15694	16605	13530	16400	13604	8608	13162	50369	61538	54600	37626	40616
ACAT1	43833	47492	53293	57476	49242	47366	31858	30801	34121	53866	49890	39105	49997	50349
ACAT2	29832	31886	36705	27358	25081	27154	47875	39748	44525	182370	219846	209437	144847	139119
ACBD3	35356	36844	43183	60196	55263	57781	37240	55276	61397	54650	54102	79690	84879	99622
ACBD4	2270	1332	2610	2515	1713	2560	3505	3060	3533	15670	28958	28595	14778	15741
ACBD5	26746	25632	32749	29497	26513	27198	25850	32066	35836	29660	26979	33200	32788	40370
ACBD6	25682	24222	26934	25552	22824	26791	34937	27256	31572	69136	72686	64661	59776	58643
ACBD7	100	215	150	100	150	48	149	50	100	4400	4658	3947	3767	4473
ACCS	892	573	815	764	637	843	844	818	1173	7788	8955	10577	7544	8733
ACD	12343	12928	16631	16617	13736	15055	21712	17014	19740	44665	54363	57910	44233	38230
ACE	100	200	285	361	394	300	150	323	891	17693	14642	16912	14456	12455
ACER3	15668	13921	18611	16886	15883	17363	11236	15373	17153	50730	53311	43549	40663	51926
ACIN1	65933	68982	80502	65514	64038	69594	42358	45845	58654	227673	288039	292338	203641	215774
ACLY	181961	188650	215526	160545	140212	153369	136657	145637	183766	633517	623727	674394	617634	549240
ACO1	21206	22000	25515	27243	26852	23865	19253	23782	28579	71281	92018	90110	73224	74826
ACO2	58729	61153	64485	88361	84219	84919	65667	57444	61372	190355	236263	237389	208423	176156
ACOT1	6297	7638	7248	6999	5592	6198	10169	8044	8860	942	971	1103	722	495
ACOT11	891	1141	1103	548	638	587	768	550	823	7148	8086	9083	6414	6551
ACOT13	22736	25276	29763	27886	28860	26822	39457	29773	35300	26416	35269	26408	27323	26170
ACOT2	10262	11680	11822	11360	10158	11331	11204	10432	13983	8403	11579	12446	10370	8671
ACOT4	4834	5737	4835	4392	4433	3692	8870	7548	8400	1064	1242	2226	2125	2071
ACOT7	36582	41269	44265	22108	21605	24372	38311	27164	28096	162501	166844	145064	160889	135156
ACOT8	8279	9389	10451	11631	9541	11683	16022	11967	13891	40877	55609	49342	41196	34131
ACOT9	34546	35930	45270	57775	52388	57113	55340	54727	63799	44702	63644	71874	65821	61242
ACOX1	23677	26562	31101	32660	31901	32322	26547	34477	39756	68671	72349	86589	64661	68376
ACOX3	4997	4671	7042	7034	6057	6944	8122	6013	7779	14132	16015	16538	16997	16240
ACP1	42168	45651	54043	48488	47110	46840	66961	60502	67736	140189	138102	109203	143090	139706
ACP2	16584	19694	19987	22936	21175	25545	45783	35988	44416	39712	54439	59058	52518	43684
ACP6	6787	6974	7728	7114	7070	7615	16045	11390	13119	34283	38562	40556	34999	30979
ACSBG1	31705	33390	39881	33595	28231	31481	41226	33853	38462	49954	47888	41317	51179	57162
ACSF2	4818	6351	5495	5000	4611	4735	4157	3695	4785	21114	24181	30225	22254	21672
ACSF3	9108	8087	8638	8683	6118	8412	12243	8998	11039	54432	54828	68941	61151	59942
ACSL1	18371	17663	21964	25711	25941	24443	10778	12462	14836	52862	43494	39305	42227	43950
ACSL3	96903	100500	121350	125928	114498	122859	107446	135027	145674	59789	63428	85381	64096	73693
ACSL4	40506	40869	49301	46271	38209	37564	33875	46921	52906	31514	39589	50800	45009	55882
ACSM3	1119	1209	1493	739	533	1081	3111	3669	2457	3635	4578	4683	6436	6902
ACSS2	6579	7841	9461	11686	9951	10428	13625	14550	16730	31714	45026	44174	31649	27169
ACSS3	850	795	1245	945	632	850	1337	1241	1320	2031	1400	2243	2503	2711
ACTA2	493	600	582	647	487	589	1861	1123	1000	37872	51185	45375	27897	22214
ACTB	3901346	4146019	4800921	4140222	3642692	3703404	2463599	2798893	3244598	1963968	2487549	2309408	2353449	2074862
ACTBP2	30873	36657	40321	31908	30129	37048	13762	18755	23648	65893	84041	78318	82555	74326
ACTBP7	885	1227	1428	1692	1151	1366	973	764	755	1814	1495	929	2283	2115
ACTC1	179	250	988	255	400	449	2344	1087	2346	199	156	434	521	111
ACTG1	1978780	2173491	2481323	2378227	2158615	2254482	1153395	1314946	1575321	3844490	4615508	3832018	3797263	3326111
ACTG1P14	94383	103936	126032	122372	102120	96028	66838	80385	85134	7442	9194	6716	10307	11421
ACTL6A	57995	60759	71220	52477	50190	53959	45012	47394	54730	42199	49138	41760	42285	42527
ACTN1	220326	236725	280923	309234	273784	295663	177693	195729	236779	116584	195705	205005	170536	182031
ACTN4	403765	426632	497285	420734	372724	420940	369958	424926	505025	679148	578860	601848	742736	711160
ACTR10	13776	13689	17222	16721	14672	15082	21842	17763	22920	26004	36743	30806	36701	35415
ACTR1A	61807	66952	73687	90013	80773	84504	71326	64913	77347	196657	229021	239004	229529	199336
ACTR1B	16586	18055	19863	20700	18944	19868	21875	19723	21757	94804	126253	106241	88378	83807
ACTR2	172355	169565	213552	181080	157701	176340	117865	177670	199108	124249	123778	103098	123798	139055
ACTR3	71366	75518	90132	78629	75319	73530	76493	82883	86783	101570	96918	84312	103628	117258
ACTR3B	5317	5761	6234	4865	5360	5190	4500	3347	4413	7016	8156	8282	5483	5940
ACTR3C	1122	639	677	819	468	1192	546	400	1014	3732	4306	4741	4098	4740
ACTR5	7377	7302	9303	5999	5561	5957	6860	5958	7897	8632	12587	20060	11883	8390
